레슨,일차,영단어,뜻,예문
06. 음식과 건강 (Food & Health),Day 2,Sugar,설탕,Too much sugar is bad for your teeth.
06. 음식과 건강 (Food & Health),Day 2,Recipe,요리법,I followed a simple recipe to bake cookies.
06. 음식과 건강 (Food & Health),Day 2,Organic,유기농의,My mom likes to buy organic vegetables.
06. 음식과 건강 (Food & Health),Day 2,Fresh,신선한,These fruits are very fresh.
06. 음식과 건강 (Food & Health),Day 3,Health,건강,Smoking is harmful to your health.
06. 음식과 건강 (Food & Health),Day 3,Body,"몸, 신체",Exercise is good for your body.
06. 음식과 건강 (Food & Health),Day 3,Hand,손,Wash your hands before you eat.
06. 음식과 건강 (Food & Health),Day 3,Mouth,입,Keep your mouth closed while chewing.
06. 음식과 건강 (Food & Health),Day 3,Eye,눈,I have blue eyes.
06. 음식과 건강 (Food & Health),Day 3,Head,머리,Wear a hat to protect your head.
06. 음식과 건강 (Food & Health),Day 3,Face,얼굴,She has a big smile on her face.
06. 음식과 건강 (Food & Health),Day 3,Physical,신체적인,Physical activity is important for students.
06. 음식과 건강 (Food & Health),Day 3,Muscle,근육,Running helps build your leg muscles.
06. 음식과 건강 (Food & Health),Day 3,Energy,에너지,I feel full of energy today.
06. 음식과 건강 (Food & Health),Day 4,Sick,아픈,"I feel sick, so I can't go to school."
06. 음식과 건강 (Food & Health),Day 4,Cold,"감기, 추운",I caught a cold last winter.
06. 음식과 건강 (Food & Health),Day 4,Pain,"통증, 아픔",I have a sharp pain in my back.
06. 음식과 건강 (Food & Health),Day 4,Sleep,"자다, 잠",I need more sleep tonight.
06. 음식과 건강 (Food & Health),Day 4,Rest,"쉬다, 휴식",You should take a rest for a while.
06. 음식과 건강 (Food & Health),Day 4,Hospital,병원,My sister works at a large hospital.
06. 음식과 건강 (Food & Health),Day 4,Doctor,의사,The doctor told me to exercise.
06. 음식과 건강 (Food & Health),Day 4,Symptom,증상,Fever is a common symptom of a cold.
06. 음식과 건강 (Food & Health),Day 4,Medicine,"약, 의학",Take this medicine after meals.
06. 음식과 건강 (Food & Health),Day 4,Healthy,건강한,Eat healthy food to stay strong.
06. 음식과 건강 (Food & Health),Day 5,Breakfast,아침 식사,I never skip breakfast.
06. 음식과 건강 (Food & Health),Day 5,Lunch,점심 식사,What's for lunch today?
06. 음식과 건강 (Food & Health),Day 5,Dinner,저녁 식사,We had a great dinner together.
06. 음식과 건강 (Food & Health),Day 5,Snack,간식,My favorite snack is popcorn.
06. 음식과 건강 (Food & Health),Day 5,Table,"탁자, 식탁",Clear the table after eating.
06. 음식과 건강 (Food & Health),Day 5,Cup,컵,I drank a cup of tea.
06. 음식과 건강 (Food & Health),Day 5,Fork,포크,I eat salad with a fork.
06. 음식과 건강 (Food & Health),Day 5,Digestion,소화,Walking after meals helps digestion.
06. 음식과 건강 (Food & Health),Day 5,Regular,규칙적인,Regular exercise is the key to health.
06. 음식과 건강 (Food & Health),Day 5,Habit,습관,Drinking water is a good habit.
06. 음식과 건강 (Food & Health),Day 6,be on a diet,다이어트 중이다,I am on a diet to lose weight.
06. 음식과 건강 (Food & Health),Day 6,help yourself,마음껏 드세요,Please help yourself to some fruit.
06. 음식과 건강 (Food & Health),Day 6,take medicine,약을 먹다,You should take medicine for your cold.
06. 음식과 건강 (Food & Health),Day 6,eat out,외식하다,Let’s eat out at a restaurant tonight.
06. 음식과 건강 (Food & Health),Day 6,be good for,~에 좋다,Vegetables are good for your health.
06. 음식과 건강 (Food & Health),Day 6,cut down on,~을 줄이다,I need to cut down on sugar.
06. 음식과 건강 (Food & Health),Day 6,full of,~로 가득 찬,This orange is full of vitamin C.
06. 음식과 건강 (Food & Health),Day 6,catch a cold,감기에 걸리다,Be careful not to catch a cold.
06. 음식과 건강 (Food & Health),Day 6,keep in shape,건강을 유지하다,Running helps me keep in shape.
06. 음식과 건강 (Food & Health),Day 6,wash one's hands,손을 씻다,Wash your hands before eating.
07. 쇼핑과 경제 (Shopping & Economy),Day 1,Buy,사다,I want to buy a new bag.
07. 쇼핑과 경제 (Shopping & Economy),Day 1,Sell,팔다,They sell fresh fruit at the market.
07. 쇼핑과 경제 (Shopping & Economy),Day 1,Shop,"가게, 쇼핑하다",I like to shop with my friends.
07. 쇼핑과 경제 (Shopping & Economy),Day 1,Price,가격,The price of this shirt is high.
07. 쇼핑과 경제 (Shopping & Economy),Day 1,Money,돈,I saved my pocket money.
07. 쇼핑과 경제 (Shopping & Economy),Day 1,Coin,동전,I found a gold coin on the ground.
07. 쇼핑과 경제 (Shopping & Economy),Day 1,Bill,"지폐, 계산서","Can I have the bill, please?"
07. 쇼핑과 경제 (Shopping & Economy),Day 1,Purchase,"구매, 구매하다",Thank you for your recent purchase.
07. 쇼핑과 경제 (Shopping & Economy),Day 1,Valuable,"가치 있는, 귀중한",Time is more valuable than money.
07. 쇼핑과 경제 (Shopping & Economy),Day 1,Cheap,(값이) 싼,This notebook is very cheap.
07. 쇼핑과 경제 (Shopping & Economy),Day 2,Market,시장,My mom goes to the market every day.
07. 쇼핑과 경제 (Shopping & Economy),Day 2,Store,가게,There is a toy store near my house.
07. 쇼핑과 경제 (Shopping & Economy),Day 2,Bag,"가방, 봉투",Put the apples in the bag.
07. 쇼핑과 경제 (Shopping & Economy),Day 2,Card,카드,Can I pay by credit card?
07. 쇼핑과 경제 (Shopping & Economy),Day 2,Pay,지불하다,You have to pay for the ticket.
07. 쇼핑과 경제 (Shopping & Economy),Day 2,Change,"잔돈, 바꾸다",Don't forget to take your change.
07. 쇼핑과 경제 (Shopping & Economy),Day 2,Clerk,점원,The clerk at the store was kind.
07. 쇼핑과 경제 (Shopping & Economy),Day 2,Receipt,영수증,Keep the receipt for the exchange.
07. 쇼핑과 경제 (Shopping & Economy),Day 2,Discount,할인,Can I get a discount on this?
07. 쇼핑과 경제 (Shopping & Economy),Day 2,Expensive,비싼,That computer is too expensive for me.
07. 쇼핑과 경제 (Shopping & Economy),Day 3,Gift,선물,I bought a gift for my dad.
07. 쇼핑과 경제 (Shopping & Economy),Day 3,Box,상자,Put the toys in the box.
07. 쇼핑과 경제 (Shopping & Economy),Day 3,Size,"크기, 사이즈",What size shoes do you wear?
07. 쇼핑과 경제 (Shopping & Economy),Day 3,Color,색깔,My favorite color is blue.
07. 쇼핑과 경제 (Shopping & Economy),Day 3,Choose,"고르다, 선택하다",It is hard to choose a color.
07. 쇼핑과 경제 (Shopping & Economy),Day 3,Order,주문하다,I'd like to order a pepperoni pizza.
07. 쇼핑과 경제 (Shopping & Economy),Day 3,Delivery,배달,The delivery will arrive in an hour.
07. 쇼핑과 경제 (Shopping & Economy),Day 3,Choice,선택,You have a lot of choices here.
07. 쇼핑과 경제 (Shopping & Economy),Day 3,Consumer,소비자,Smart consumers compare prices.
07. 쇼핑과 경제 (Shopping & Economy),Day 3,Quality,품질,The quality of this bag is excellent.
07. 쇼핑과 경제 (Shopping & Economy),Day 4,Bank,은행,I need to go to the bank.
07. 쇼핑과 경제 (Shopping & Economy),Day 4,Save,"저축하다, 구하다","I save 5,000 won every week."
07. 쇼핑과 경제 (Shopping & Economy),Day 4,Rich,부유한,He became a rich man.
07. 쇼핑과 경제 (Shopping & Economy),Day 4,Poor,"가난한, 불쌍한",We should help poor people.
07. 쇼핑과 경제 (Shopping & Economy),Day 4,Work,"일, 일하다",My father works at a bank.
07. 쇼핑과 경제 (Shopping & Economy),Day 4,Job,직업,What is your dream job?
07. 쇼핑과 경제 (Shopping & Economy),Day 4,Cost,"비용, 비용이 들다",How much does this cost?
07. 쇼핑과 경제 (Shopping & Economy),Day 4,Expense,"비용, 지출",Travel expenses are increasing.
07. 쇼핑과 경제 (Shopping & Economy),Day 4,Invest,투자하다,It's important to invest in yourself.
07. 쇼핑과 경제 (Shopping & Economy),Day 4,Income,"소득, 수입",My monthly income is limited.
07. 쇼핑과 경제 (Shopping & Economy),Day 5,Use,사용하다,Can I use your pen?
07. 쇼핑과 경제 (Shopping & Economy),Day 5,Give,주다,"Give me that book, please."
07. 쇼핑과 경제 (Shopping & Economy),Day 5,Get,"얻다, 받다",I get pocket money once a month.
07. 쇼핑과 경제 (Shopping & Economy),Day 5,Borrow,빌리다,Can I borrow your umbrella?
07. 쇼핑과 경제 (Shopping & Economy),Day 5,Lend,빌려주다,Will you lend me some money?
07. 쇼핑과 경제 (Shopping & Economy),Day 5,Spend,(돈/시간을) 쓰다,I spend much time on games.
07. 쇼핑과 경제 (Shopping & Economy),Day 5,Free,"공짜의, 자유로운",This service is free of charge.
07. 쇼핑과 경제 (Shopping & Economy),Day 5,Economy,경제,The world economy is changing fast.
07. 쇼핑과 경제 (Shopping & Economy),Day 5,Benefit,"이익, 혜택",There are many benefits to exercising.
07. 쇼핑과 경제 (Shopping & Economy),Day 5,Advertise,광고하다,They advertise their products on TV.
07. 쇼핑과 경제 (Shopping & Economy),Day 6,how much is it,얼마인가요?,"Excuse me, how much is it?"
07. 쇼핑과 경제 (Shopping & Economy),Day 6,pay for,~의 값을 치르다,I’ll pay for the dinner.
07. 쇼핑과 경제 (Shopping & Economy),Day 6,on sale,세일 중인,This jacket is on sale right now.
07. 쇼핑과 경제 (Shopping & Economy),Day 6,try on,입어보다,Can I try on this shirt?
07. 쇼핑과 경제 (Shopping & Economy),Day 6,out of stock,품절된,"I’m sorry, that item is out of stock."
07. 쇼핑과 경제 (Shopping & Economy),Day 6,save money,돈을 아끼다,I’m trying to save money for a bike.
07. 쇼핑과 경제 (Shopping & Economy),Day 6,spend money on,~에 돈을 쓰다,Don't spend money on useless things.
07. 쇼핑과 경제 (Shopping & Economy),Day 6,run out of,~이 다 떨어지다,We ran out of milk this morning.
07. 쇼핑과 경제 (Shopping & Economy),Day 6,take a look at,~을 한번 보다,Take a look at this new bag.
07. 쇼핑과 경제 (Shopping & Economy),Day 6,at a low price,저렴한 가격에,I bought this shirt at a low price.
08. 여행과 교통 (Travel & Transportation),Day 1,Trip,여행,How was your school trip?
08. 여행과 교통 (Travel & Transportation),Day 1,Map,지도,We need a map to find the way.
08. 여행과 교통 (Travel & Transportation),Day 1,Tour,"관광, 여행",We went on a walking tour of the city.
08. 여행과 교통 (Travel & Transportation),Day 1,Place,장소,This is a very beautiful place.
08. 여행과 교통 (Travel & Transportation),Day 1,Visit,방문하다,I want to visit London someday.
08. 여행과 교통 (Travel & Transportation),Day 1,Stay,머무르다,We will stay at a hotel.
08. 여행과 교통 (Travel & Transportation),Day 1,Pack,(짐을) 싸다,I have to pack my suitcase.
08. 여행과 교통 (Travel & Transportation),Day 1,Destination,목적지,We finally reached our destination.
08. 여행과 교통 (Travel & Transportation),Day 1,Passenger,승객,All passengers must wear seatbelts.
08. 여행과 교통 (Travel & Transportation),Day 1,Foreign,"외국어, 외국의",I want to learn a foreign language.
08. 여행과 교통 (Travel & Transportation),Day 2,Car,자동차,My father bought a new car.
08. 여행과 교통 (Travel & Transportation),Day 2,Bus,버스,I catch the bus at 8 AM.
08. 여행과 교통 (Travel & Transportation),Day 2,Taxi,택시,Let's take a taxi to the station.
08. 여행과 교통 (Travel & Transportation),Day 2,Bike,자전거,I ride my bike to the park.
08. 여행과 교통 (Travel & Transportation),Day 2,Stop,"멈추다, 정류장",Where is the nearest bus stop?
08. 여행과 교통 (Travel & Transportation),Day 2,Drive,운전하다,My mom can drive a car well.
08. 여행과 교통 (Travel & Transportation),Day 2,Road,도로,The road is very busy today.
08. 여행과 교통 (Travel & Transportation),Day 2,Vehicle,"차량, 운송수단",Buses and trucks are large vehicles.
08. 여행과 교통 (Travel & Transportation),Day 2,Transport,"수송하다, 교통",Public transport is very cheap here.
08. 여행과 교통 (Travel & Transportation),Day 2,Traffic,교통(량),There is a lot of traffic on the bridge.
08. 여행과 교통 (Travel & Transportation),Day 3,Train,기차,The train arrives in five minutes.
08. 여행과 교통 (Travel & Transportation),Day 3,Station,역,Meet me at the subway station.
08. 여행과 교통 (Travel & Transportation),Day 3,Ticket,"표, 티켓",Do you have a ticket for the movie?
08. 여행과 교통 (Travel & Transportation),Day 3,Seat,좌석,Is this seat taken?
08. 여행과 교통 (Travel & Transportation),Day 3,Line,"선, 노선",I take the subway line number 2.
08. 여행과 교통 (Travel & Transportation),Day 3,Fast,빠른,This train is very fast.
08. 여행과 교통 (Travel & Transportation),Day 3,Slow,느린,The bus is too slow today.
08. 여행과 교통 (Travel & Transportation),Day 3,Departure,출발,Please check the departure time.
08. 여행과 교통 (Travel & Transportation),Day 3,Arrival,도착,The arrival of the flight was late.
08. 여행과 교통 (Travel & Transportation),Day 3,Schedule,"일정, 시간표",Let's look at the train schedule.
08. 여행과 교통 (Travel & Transportation),Day 4,Plane,비행기,I have never traveled by plane.
08. 여행과 교통 (Travel & Transportation),Day 4,Airport,공항,I will meet you at the airport.
08. 여행과 교통 (Travel & Transportation),Day 4,Ship,배,A large ship is in the harbor.
08. 여행과 교통 (Travel & Transportation),Day 4,Sea,바다,The sea is very calm today.
08. 여행과 교통 (Travel & Transportation),Day 4,Fly,"날다, 비행하다",Birds fly high in the sky.
08. 여행과 교통 (Travel & Transportation),Day 4,Land,"땅, 착륙하다",The plane will land soon.
08. 여행과 교통 (Travel & Transportation),Day 4,Air,"공기, 공중",The air is very fresh in the mountains.
08. 여행과 교통 (Travel & Transportation),Day 4,Explore,탐험하다,We decided to explore the old city.
08. 여행과 교통 (Travel & Transportation),Day 4,Adventure,모험,Our trip was a great adventure.
08. 여행과 교통 (Travel & Transportation),Day 4,International,국제적인,This is an international flight.
08. 여행과 교통 (Travel & Transportation),Day 5,Left,왼쪽,Turn left at the corner.
08. 여행과 교통 (Travel & Transportation),Day 5,Right,오른쪽,My house is on the right.
08. 여행과 교통 (Travel & Transportation),Day 5,Straight,똑바로,Go straight for two blocks.
08. 여행과 교통 (Travel & Transportation),Day 5,Way,"길, 방법",Do you know the way to the bank?
08. 여행과 교통 (Travel & Transportation),Day 5,Cross,건너다,Be careful when you cross the street.
08. 여행과 교통 (Travel & Transportation),Day 5,Near,가까운,The school is near my house.
08. 여행과 교통 (Travel & Transportation),Day 5,Far,먼,Is the museum far from here?
08. 여행과 교통 (Travel & Transportation),Day 5,Location,"위치, 장소",What is the location of the hotel?
08. 여행과 교통 (Travel & Transportation),Day 5,Direction,방향,Which direction should I take?
08. 여행과 교통 (Travel & Transportation),Day 5,Convenient,편리한,The subway is very convenient.
08. 여행과 교통 (Travel & Transportation),Day 6,get on,(버스 등을) 타다,Get on the bus at the next stop.
08. 여행과 교통 (Travel & Transportation),Day 6,get off,(버스 등을) 내리다,I need to get off at the station.
08. 여행과 교통 (Travel & Transportation),Day 6,by mistake,실수로,I took the wrong bus by mistake.
08. 여행과 교통 (Travel & Transportation),Day 6,on foot,걸어서,It takes 10 minutes on foot.
08. 여행과 교통 (Travel & Transportation),Day 6,go on a trip,여행을 가다,We are going to go on a trip next week.
08. 여행과 교통 (Travel & Transportation),Day 6,check in,체크인하다,We need to check in at the hotel.
08. 여행과 교통 (Travel & Transportation),Day 6,look around,둘러보다,Let's look around the museum.
08. 여행과 교통 (Travel & Transportation),Day 6,ask for directions,길을 묻다,Don't be afraid to ask for directions.
08. 여행과 교통 (Travel & Transportation),Day 6,pick up,~를 태우러 가다,I’ll pick you up at the airport.
08. 여행과 교통 (Travel & Transportation),Day 6,arrive at,~에 도착하다,We will arrive at the hotel soon.
09. 여러 가지 장소 (Places & Locations),Day 1,Park,공원,I play soccer in the park.
09. 여러 가지 장소 (Places & Locations),Day 1,Bank,은행,I need to save money at the bank.
09. 여러 가지 장소 (Places & Locations),Day 1,Library,도서관,I study at the library every Saturday.
09. 여러 가지 장소 (Places & Locations),Day 1,Post office,우체국,I am going to the post office to send a letter.
09. 여러 가지 장소 (Places & Locations),Day 1,Hospital,병원,My sister is a doctor at that hospital.
09. 여러 가지 장소 (Places & Locations),Day 1,Bakery,빵집,The bread at this bakery is delicious.
09. 여러 가지 장소 (Places & Locations),Day 1,Street,"거리, 도로",Many people are walking on the street.
09. 여러 가지 장소 (Places & Locations),Day 1,Landmark,"주요 지표, 명소",The Eiffel Tower is a famous landmark.
09. 여러 가지 장소 (Places & Locations),Day 1,Neighborhood,"이웃, 동네",I live in a quiet neighborhood.
09. 여러 가지 장소 (Places & Locations),Day 1,Residential,거주지의,This is a quiet residential area.
09. 여러 가지 장소 (Places & Locations),Day 2,Store,가게,I bought a new pen at the store.
09. 여러 가지 장소 (Places & Locations),Day 2,Market,시장,My grandmother sells vegetables at the market.
09. 여러 가지 장소 (Places & Locations),Day 2,Cinema,영화관,Let's meet in front of the cinema.
09. 여러 가지 장소 (Places & Locations),Day 2,Church,교회,We go to church on Sundays.
09. 여러 가지 장소 (Places & Locations),Day 2,Farm,농장,My uncle has a big apple farm.
09. 여러 가지 장소 (Places & Locations),Day 2,Bridge,다리,We crossed the bridge by car.
09. 여러 가지 장소 (Places & Locations),Day 2,Village,마을,He lives in a small village near the sea.
09. 여러 가지 장소 (Places & Locations),Day 2,Architecture,건축(물),I am interested in modern architecture.
09. 여러 가지 장소 (Places & Locations),Day 2,Surrounding,"주변의, 환경",The house has beautiful surroundings.
09. 여러 가지 장소 (Places & Locations),Day 2,Destination,목적지,We finally arrived at our destination.
09. 여러 가지 장소 (Places & Locations),Day 3,Station,역,The subway station is crowded.
09. 여러 가지 장소 (Places & Locations),Day 3,Airport,공항,I will go to the airport to meet my friend.
09. 여러 가지 장소 (Places & Locations),Day 3,Port,항구,Many ships are in the port.
09. 여러 가지 장소 (Places & Locations),Day 3,Field,"들판, 분야",Cows are eating grass in the field.
09. 여러 가지 장소 (Places & Locations),Day 3,Forest,숲,We went hiking in the deep forest.
09. 여러 가지 장소 (Places & Locations),Day 3,Beach,해변,I love walking on the sandy beach.
09. 여러 가지 장소 (Places & Locations),Day 3,Island,섬,Jeju is a beautiful island.
09. 여러 가지 장소 (Places & Locations),Day 3,Atmosphere,"분위기, 대기",The restaurant has a cozy atmosphere.
09. 여러 가지 장소 (Places & Locations),Day 3,Population,인구,Seoul has a large population.
09. 여러 가지 장소 (Places & Locations),Day 3,Environment,환경,We must keep our environment clean.
09. 여러 가지 장소 (Places & Locations),Day 4,Office,사무실,My father is working in his office.
09. 여러 가지 장소 (Places & Locations),Day 4,Factory,공장,This factory makes cars.
09. 여러 가지 장소 (Places & Locations),Day 4,Museum,박물관,We saw old paintings at the museum.
09. 여러 가지 장소 (Places & Locations),Day 4,Theater,극장,I saw a play at the theater.
09. 여러 가지 장소 (Places & Locations),Day 4,Stadium,경기장,The soccer stadium was full of fans.
09. 여러 가지 장소 (Places & Locations),Day 4,Gym,체육관,I exercise at the gym every morning.
09. 여러 가지 장소 (Places & Locations),Day 4,Pool,수영장,I go to the swimming pool in summer.
09. 여러 가지 장소 (Places & Locations),Day 4,Facility,시설,The school has great sports facilities.
09. 여러 가지 장소 (Places & Locations),Day 4,Exhibition,전시회,I went to a photo exhibition yesterday.
09. 여러 가지 장소 (Places & Locations),Day 4,Construction,"건설, 공사",There is a construction site near here.
09. 여러 가지 장소 (Places & Locations),Day 5,Inside,안에,"It is cold outside, so let's go inside."
09. 여러 가지 장소 (Places & Locations),Day 5,Outside,밖에,Children are playing outside.
09. 여러 가지 장소 (Places & Locations),Day 5,Corner,모퉁이,The store is at the corner of the street.
09. 여러 가지 장소 (Places & Locations),Day 5,Top,꼭대기,We reached the top of the mountain.
09. 여러 가지 장소 (Places & Locations),Day 5,Bottom,바닥,There is some sand at the bottom of the bottle.
09. 여러 가지 장소 (Places & Locations),Day 5,Side,"옆면, 쪽",Please stand on the right side.
09. 여러 가지 장소 (Places & Locations),Day 5,Center,"중심, 중앙",The fountain is in the center of the park.
09. 여러 가지 장소 (Places & Locations),Day 5,Coordinate,"좌표, 조정하다",Can you give me the coordinates of the place?
09. 여러 가지 장소 (Places & Locations),Day 5,Boundary,경계(선),This river is the boundary between the two cities.
09. 여러 가지 장소 (Places & Locations),Day 5,Territory,"영토, 지역",Cats are very protective of their territory.
09. 여러 가지 장소 (Places & Locations),Day 6,go straight,똑바로 가다,Go straight for two blocks.
09. 여러 가지 장소 (Places & Locations),Day 6,turn left / right,좌/우회전하다,Turn left at the corner.
09. 여러 가지 장소 (Places & Locations),Day 6,far from,~에서 먼,My house is far from here.
09. 여러 가지 장소 (Places & Locations),Day 6,drop by,~에 잠깐 들르다,Can I drop by your office later?
09. 여러 가지 장소 (Places & Locations),Day 6,stop by,~에 들르다,I need to stop by the bank.
09. 여러 가지 장소 (Places & Locations),Day 6,be located in,~에 위치하다,The tower is located in the center.
09. 여러 가지 장소 (Places & Locations),Day 6,on the corner,모퉁이에,The bakery is on the corner.
09. 여러 가지 장소 (Places & Locations),Day 6,across from,~의 맞은편에,The park is across from the school.
09. 여러 가지 장소 (Places & Locations),Day 6,in the middle of,~의 한가운데에,There is a fountain in the middle of the park.
09. 여러 가지 장소 (Places & Locations),Day 6,between A and B,A와 B 사이에,The shop is between the bank and the cafe.
10. 꿈과 미래 (Dreams & Future),Day 1,Dream,꿈,My dream is to be a pilot.
10. 꿈과 미래 (Dreams & Future),Day 1,Future,미래,No one knows the future.
10. 꿈과 미래 (Dreams & Future),Day 1,Goal,목표,My goal is to pass the test.
10. 꿈과 미래 (Dreams & Future),Day 1,Job,직업,What kind of job do you want?
10. 꿈과 미래 (Dreams & Future),Day 1,Hope,희망하다,I hope to travel around the world.
10. 꿈과 미래 (Dreams & Future),Day 1,Plan,계획,Do you have a plan for the weekend?
10. 꿈과 미래 (Dreams & Future),Day 1,Idea,"생각, 아이디어",That is a great idea!
10. 꿈과 미래 (Dreams & Future),Day 1,Achievement,"업적, 성취",Winning the prize was a great achievement.
10. 꿈과 미래 (Dreams & Future),Day 1,Possibility,가능성,There is a possibility of snow today.
10. 꿈과 미래 (Dreams & Future),Day 1,Ambition,"야망, 포부",Her ambition is to be a famous scientist.
10. 꿈과 미래 (Dreams & Future),Day 2,Work,일하다,I want to work for a big company.
10. 꿈과 미래 (Dreams & Future),Day 2,Study,공부하다,I study hard to be a doctor.
10. 꿈과 미래 (Dreams & Future),Day 2,Learn,배우다,I want to learn a new language.
10. 꿈과 미래 (Dreams & Future),Day 2,Become,~이 되다,She wants to become a singer.
10. 꿈과 미래 (Dreams & Future),Day 2,Success,성공,Practice is the key to success.
10. 꿈과 미래 (Dreams & Future),Day 2,World,"세상, 세계",I want to see the whole world.
10. 꿈과 미래 (Dreams & Future),Day 2,Life,"삶, 인생",Music is my whole life.
10. 꿈과 미래 (Dreams & Future),Day 2,Experience,경험,Traveling gives you new experiences.
10. 꿈과 미래 (Dreams & Future),Day 2,Potential,잠재력,You have the potential to be a leader.
10. 꿈과 미래 (Dreams & Future),Day 2,Opportunity,기회,This is a great opportunity for you.
10. 꿈과 미래 (Dreams & Future),Day 3,Talent,재능,She has a talent for singing.
10. 꿈과 미래 (Dreams & Future),Day 3,Skill,"기술, 숙련",Computer skills are very important.
10. 꿈과 미래 (Dreams & Future),Day 3,Effort,노력,Success takes time and effort.
10. 꿈과 미래 (Dreams & Future),Day 3,Change,변화,Don't be afraid of change.
10. 꿈과 미래 (Dreams & Future),Day 3,Choice,선택,You have to make a choice.
10. 꿈과 미래 (Dreams & Future),Day 3,Secret,비밀,What is the secret of your success?
10. 꿈과 미래 (Dreams & Future),Day 3,Brave,용감한,Be brave and try new things.
10. 꿈과 미래 (Dreams & Future),Day 3,Imagination,상상력,Artists have a great imagination.
10. 꿈과 미래 (Dreams & Future),Day 3,Challenge,도전,This project is a big challenge for me.
10. 꿈과 미래 (Dreams & Future),Day 3,Passion,열정,He has a passion for music.
10. 꿈과 미래 (Dreams & Future),Day 4,Grow,"자라다, 성장하다",I want to grow up to be a teacher.
10. 꿈과 미래 (Dreams & Future),Day 4,Move,"움직이다, 이사하다",We will move to a new house next year.
10. 꿈과 미래 (Dreams & Future),Day 4,Travel,여행하다,I plan to travel around Europe.
10. 꿈과 미래 (Dreams & Future),Day 4,Help,돕다,I want to help people in need.
10. 꿈과 미래 (Dreams & Future),Day 4,Meet,만나다,I want to meet many people.
10. 꿈과 미래 (Dreams & Future),Day 4,Speak,말하다,I can speak English well.
10. 꿈과 미래 (Dreams & Future),Day 4,Create,창조하다,I want to create my own game.
10. 꿈과 미래 (Dreams & Future),Day 4,Inspire,영감을 주다,My teacher inspired me to study hard.
10. 꿈과 미래 (Dreams & Future),Day 4,Encourage,격려하다,My friends encouraged me to join the club.
10. 꿈과 미래 (Dreams & Future),Day 4,Determined,"단호한, 결심한",I am determined to finish this project.
10. 꿈과 미래 (Dreams & Future),Day 5,Star,"스타, 별",He wants to be a movie star.
10. 꿈과 미래 (Dreams & Future),Day 5,Leader,"리더, 지도자",She is a natural leader.
10. 꿈과 미래 (Dreams & Future),Day 5,Hero,영웅,My father is my hero.
10. 꿈과 미래 (Dreams & Future),Day 5,Famous,유명한,He became a famous writer.
10. 꿈과 미래 (Dreams & Future),Day 5,Special,특별한,Everyone is special in their own way.
10. 꿈과 미래 (Dreams & Future),Day 5,Happy,행복한,I hope you are always happy.
10. 꿈과 미래 (Dreams & Future),Day 5,Young,"젊은, 어린",Enjoy your life while you are young.
10. 꿈과 미래 (Dreams & Future),Day 5,Vision,"시력, 미래상",He has a clear vision for his company.
10. 꿈과 미래 (Dreams & Future),Day 5,Fulfill,"성취하다, 이행하다",I worked hard to fulfill my dream.
10. 꿈과 미래 (Dreams & Future),Day 5,Destiny,운명,You are the master of your own destiny.
10. 꿈과 미래 (Dreams & Future),Day 6,come true,이루어지다,I hope your dream comes true.
10. 꿈과 미래 (Dreams & Future),Day 6,grow up,"자라다, 성장하다",I want to be a pilot when I grow up.
10. 꿈과 미래 (Dreams & Future),Day 6,work hard,열심히 노력하다,You should work hard for your goal.
10. 꿈과 미래 (Dreams & Future),Day 6,give up,포기하다,Never give up on your dreams.
10. 꿈과 미래 (Dreams & Future),Day 6,believe in,~를 믿다,You should believe in yourself.
10. 꿈과 미래 (Dreams & Future),Day 6,be good at,~에 능숙하다,He is good at playing the piano.
10. 꿈과 미래 (Dreams & Future),Day 6,find out,알아내다,I want to find out my talent.
10. 꿈과 미래 (Dreams & Future),Day 6,look forward to,~를 고대하다,I look forward to seeing you again.
10. 꿈과 미래 (Dreams & Future),Day 6,prepare for,~를 준비하다,We are preparing for the future.
10. 꿈과 미래 (Dreams & Future),Day 6,make a plan,계획을 세우다,Let's make a plan for the vacation.
11. 직업과 전문성 (Jobs & Professionalism),Day 1,Artist,"예술가, 화가",The artist is painting a mural.
11. 직업과 전문성 (Jobs & Professionalism),Day 1,Pilot,조종사,The pilot landed the plane safely.
11. 직업과 전문성 (Jobs & Professionalism),Day 1,Nurse,간호사,The nurse took my temperature.
11. 직업과 전문성 (Jobs & Professionalism),Day 1,Cook,요리사,The cook prepared a special dish.
11. 직업과 전문성 (Jobs & Professionalism),Day 1,Farmer,농부,The farmer plants seeds in spring.
11. 직업과 전문성 (Jobs & Professionalism),Day 1,Singer,가수,She is a very famous pop singer.
11. 직업과 전문성 (Jobs & Professionalism),Day 1,Actor,배우,The actor performed well on stage.
11. 직업과 전문성 (Jobs & Professionalism),Day 1,Professional,"전문적인, 전문가",He gave me some professional advice.
11. 직업과 전문성 (Jobs & Professionalism),Day 1,Career,"경력, 직업",She wants to start a career in fashion.
11. 직업과 전문성 (Jobs & Professionalism),Day 1,Expertise,전문 지식,He has expertise in computer science.
11. 직업과 전문성 (Jobs & Professionalism),Day 2,Writer,작가,My dream is to become a famous writer.
11. 직업과 전문성 (Jobs & Professionalism),Day 2,Police officer,경찰관,The police officer helped the lost child.
11. 직업과 전문성 (Jobs & Professionalism),Day 2,Firefighter,소방관,Firefighters wear special uniforms.
11. 직업과 전문성 (Jobs & Professionalism),Day 2,Reporter,기자,The reporter is interviewing the star.
